technique	C	regularization	solver	accuracy
lemmatization	1000	l1	saga	0.94325
lemmatization	1000	l1	liblinear	0.93866
lemmatization	100	l1	saga	0.94325
lemmatization	100	l1	liblinear	0.94786
lemmatization	50	l1	saga	0.94428
lemmatization	50	l1	liblinear	0.94582
lemmatization	10	l1	saga	0.94326
lemmatization	10	l1	liblinear	0.94736
lemmatization	1.0	l1	saga	0.9407
lemmatization	1.0	l1	liblinear	0.93867
lemmatization	0.1	l1	saga	0.90289
lemmatization	0.1	l1	liblinear	0.89829
lemmatization	0.01	l1	saga	0.71997
lemmatization	0.01	l1	liblinear	0.722
lemmatization	1000	l2	lbfgs	0.95194
lemmatization	1000	l2	liblinear	0.94274
lemmatization	1000	l2	newton-cg	0.94018
lemmatization	1000	l2	newton-cholesky	0.93916
lemmatization	1000	l2	sag	0.94428
lemmatization	1000	l2	saga	0.94325
lemmatization	100	l2	lbfgs	0.95092
lemmatization	100	l2	liblinear	0.94581
lemmatization	100	l2	newton-cg	0.9453
lemmatization	100	l2	newton-cholesky	0.9453
lemmatization	100	l2	sag	0.94428
lemmatization	100	l2	saga	0.94376
lemmatization	50	l2	lbfgs	0.95245
lemmatization	50	l2	liblinear	0.94684
lemmatization	50	l2	newton-cg	0.94786
lemmatization	50	l2	newton-cholesky	0.94684
lemmatization	50	l2	sag	0.94428
lemmatization	50	l2	saga	0.94427
lemmatization	10	l2	lbfgs	0.94888
lemmatization	10	l2	liblinear	0.94735
lemmatization	10	l2	newton-cg	0.94735
lemmatization	10	l2	newton-cholesky	0.94786
lemmatization	10	l2	sag	0.9453
lemmatization	10	l2	saga	0.94376
lemmatization	1.0	l2	lbfgs	0.9402
lemmatization	1.0	l2	liblinear	0.94071
lemmatization	1.0	l2	newton-cg	0.94071
lemmatization	1.0	l2	newton-cholesky	0.94071
lemmatization	1.0	l2	sag	0.94121
lemmatization	1.0	l2	saga	0.9407
lemmatization	0.1	l2	lbfgs	0.92283
lemmatization	0.1	l2	liblinear	0.92385
lemmatization	0.1	l2	newton-cg	0.92334
lemmatization	0.1	l2	newton-cholesky	0.92334
lemmatization	0.1	l2	sag	0.92692
lemmatization	0.1	l2	saga	0.93254
lemmatization	0.01	l2	lbfgs	0.89729
lemmatization	0.01	l2	liblinear	0.91262
lemmatization	0.01	l2	newton-cg	0.89729
lemmatization	0.01	l2	newton-cholesky	0.89729
lemmatization	0.01	l2	sag	0.90036
lemmatization	0.01	l2	saga	0.9116
stemming	1000	l1	saga	0.94377
stemming	1000	l1	liblinear	0.94172
stemming	100	l1	saga	0.94428
stemming	100	l1	liblinear	0.94633
stemming	50	l1	saga	0.94428
stemming	50	l1	liblinear	0.94991
stemming	10	l1	saga	0.94479
stemming	10	l1	liblinear	0.95144
stemming	1.0	l1	saga	0.94122
stemming	1.0	l1	liblinear	0.93969
stemming	0.1	l1	saga	0.90238
stemming	0.1	l1	liblinear	0.89778
stemming	0.01	l1	saga	0.71946
stemming	0.01	l1	liblinear	0.71996
stemming	1000	l2	lbfgs	0.9545
stemming	1000	l2	liblinear	0.94172
stemming	1000	l2	newton-cg	0.9407
stemming	1000	l2	newton-cholesky	0.94019
stemming	1000	l2	sag	0.94479
stemming	1000	l2	saga	0.94428
stemming	100	l2	lbfgs	0.95399
stemming	100	l2	liblinear	0.94581
stemming	100	l2	newton-cg	0.9453
stemming	100	l2	newton-cholesky	0.94581
stemming	100	l2	sag	0.94479
stemming	100	l2	saga	0.94377
stemming	50	l2	lbfgs	0.95348
stemming	50	l2	liblinear	0.94735
stemming	50	l2	newton-cg	0.94684
stemming	50	l2	newton-cholesky	0.94786
stemming	50	l2	sag	0.94479
stemming	50	l2	saga	0.94479
stemming	10	l2	lbfgs	0.94939
stemming	10	l2	liblinear	0.94939
stemming	10	l2	newton-cg	0.94939
stemming	10	l2	newton-cholesky	0.94939
stemming	10	l2	sag	0.94581
stemming	10	l2	saga	0.94428
stemming	1.0	l2	lbfgs	0.94173
stemming	1.0	l2	liblinear	0.94224
stemming	1.0	l2	newton-cg	0.94224
stemming	1.0	l2	newton-cholesky	0.94224
stemming	1.0	l2	sag	0.94325
stemming	1.0	l2	saga	0.94275
stemming	0.1	l2	lbfgs	0.92283
stemming	0.1	l2	liblinear	0.92385
stemming	0.1	l2	newton-cg	0.92232
stemming	0.1	l2	newton-cholesky	0.92232
stemming	0.1	l2	sag	0.92538
stemming	0.1	l2	saga	0.93151
stemming	0.01	l2	lbfgs	0.89576
stemming	0.01	l2	liblinear	0.91159
stemming	0.01	l2	newton-cg	0.89576
stemming	0.01	l2	newton-cholesky	0.89576
stemming	0.01	l2	sag	0.89883
stemming	0.01	l2	saga	0.91006
